CELLID,LAT,LON,MONTH,DAY,AEZID,PHIHOXsd2,CRFVOLsd2,SNDPPTsd2,CLYPPTsd2,SLTPPTsd2,CECsd2,NTOxd1,EACKCLsd2,DRAINFAO,BLDsd2,ORCDRCsd2,Country
4452,7.875,32.125,7,11,9,65.17117782,3.47367126,38.48449803,38.86138451,22.65411745,24.82291667,0.924712106,0.006239885,1.783054462,1335.73,9.647965879,Soudan
4453,7.875,32.375,7,13,9,66.70498524,4.05305018,34.96605444,42.75196786,22.28533946,29.34150541,1.003333303,0.003970083,1.70055756,1338.98,11.59101345,Soudan
4454,7.875,32.625,7,13,9,68.13113679,4.250471273,30.51372838,46.90140152,22.58659126,33.6383903,1.083898203,0.00121957,1.345217605,1314.27,13.52962872,Soudan
4455,7.875,32.875,7,16,9,68.99153378,3.461860924,31.33453888,44.71584744,23.95758672,33.03961861,1.135617293,0.008160805,1.594279139,1225.17,14.8009206,Soudan
4456,7.875,33.125,7,16,9,68.39327869,1.61704918,33.88508197,40.26877049,25.84696721,28.8804918,1.076217949,0.014372383,1.827213115,1182.71,15.00663934,Ethiopie
4457,7.875,33.375,7,16,9,69.63546798,3.458128079,31.06510673,42.74885057,26.18119869,34.01165846,1.291431609,0.056232039,1.847536946,1204.49,17.89417077,Ethiopie
4458,7.875,34.375,7,21,9,65.09493671,12.78415256,35.49852047,36.89289824,27.61425284,30.11885583,1.364986108,0.190840387,2.949367089,1189.8,17.2012987,Ethiopie
4459,7.875,34.625,7,24,9,60.31840133,7.670691091,37.72173189,37.56910908,24.71298918,20.67601998,1.700080766,0.344852933,3.805412157,1190.54,21.84487927,Ethiopie
4460,7.875,35.375,2,2,14,52.02279249,4.650979749,27.00967451,48.01590555,24.96605723,24.68369271,4.633170455,2.99719136,4.962695745,1160.62,39.43568091,Ethiopie
4461,7.875,35.625,3,29,14,52.91430212,4.589552239,25.67582418,48.35812695,25.96645891,29.86616369,4.506342467,2.15276609,4.77087092,1134.05,39.07684107,Ethiopie
4462,7.875,35.875,1,19,14,52.41349623,9.762299114,27.96187275,44.56682519,27.47031814,30.21539849,5.152430306,3.699764678,4.902181043,1113.94,45.9000492,Ethiopie
4463,7.875,36.125,1,22,14,52.05509552,10.73919816,27.72567025,44.06944331,28.20226285,30.32180044,4.461397887,5.725038127,4.912847422,1074.17,41.71845536,Ethiopie
4464,7.875,36.375,1,19,14,52.12567634,11.33735039,28.12387277,44.85259879,27.02213478,29.98721102,4.484851619,5.011730521,4.946548615,1090.86,43.30750943,Ethiopie
4465,7.875,36.625,1,28,14,54.01066273,11.49229003,26.90247703,44.52887139,28.55790682,30.97990486,3.584438159,3.345744215,4.980807087,1058.65,42.40173885,Ethiopie
4466,7.875,36.875,1,25,14,52.75635558,10.76775463,29.5271445,42.46982122,28.00032803,29.48679679,4.107583246,4.507569874,4.979334099,1077.28,43.0521568,Ethiopie
4467,7.875,37.125,1,25,14,54.51673813,12.16383575,29.68634565,42.0203661,28.29370053,32.16531992,3.153977575,5.469438993,4.956134565,1087.47,36.67166887,Ethiopie
4468,7.875,37.375,1,28,14,57.43252743,9.779921125,26.30941358,44.10013717,29.58787723,36.61574074,2.243305038,2.857573772,4.946930727,1113.5,31.00643004,Ethiopie
4469,7.875,37.625,2,22,13,58.45591733,13.85057,30.81185926,39.05905027,30.12236529,36.94398425,2.238811612,1.296360961,4.99212663,1138.24,35.09849914,Ethiopie
4470,7.875,37.875,1,29,14,57.91350332,9.00311552,32.91866853,36.22308764,30.86644257,26.63564811,2.49863081,1.76581151,4.943100762,1120.21,37.48528327,Ethiopie
4471,7.875,38.125,1,31,13,61.0230479,7.221538714,33.41108924,36.97244094,29.62614829,32.95136155,1.941779035,0.608338688,4.844078084,1167.57,31.11532152,Ethiopie
4472,7.875,38.375,2,18,13,63.83945224,5.826766361,34.25380156,35.09627825,30.64739982,37.07871965,1.714971015,0.12683118,4.655465009,1243.97,29.54011594,Ethiopie
4473,7.875,38.625,4,21,13,70.18860528,3.989371897,40.29244708,26.85608502,32.85416848,32.51746668,1.819303247,0.067385986,4.448993815,1256.29,30.20724802,Ethiopie
4474,7.875,38.875,3,6,13,67.73827637,6.684114909,37.86828659,30.30305439,31.83274668,36.07755195,1.701453389,0.140441946,4.968320654,1214.72,27.10298626,Ethiopie
4475,7.875,39.125,3,4,13,64.99507914,8.821618962,27.91126056,40.27975068,31.80324777,39.24374641,2.262752396,0.588293609,4.938243254,1131.16,30.28139096,Ethiopie
4476,7.875,39.625,3,13,13,69.23731037,5.3799918,18.04067241,49.18343583,32.77630176,42.52218122,1.960392372,0.160005879,4.543255433,1119.02,26.12562526,Ethiopie
4477,7.875,39.875,3,30,13,67.43038701,11.42751722,23.06625123,45.47974746,31.45342735,45.21539849,2.130103309,0.266927455,4.674811414,1113.05,26.47040013,Ethiopie
4478,7.875,40.125,5,9,13,65.91299713,11.04264043,32.82107421,39.99278393,27.18236982,36.22722427,1.861328658,0.275057119,4.963509635,1158.53,26.20910209,Ethiopie
4479,7.625,-12.625,8,29,9,53.04294479,12.40678603,42.69174909,35.17165394,22.13208965,21.80005008,2.399950044,4.837992992,1.946538124,1226.98,36.95743083,Sierra Leone
4480,7.625,-12.375,8,30,9,52.1560121,19.90676817,50.84054646,29.5636667,19.60100115,18.44676191,2.134523933,4.174751904,3.234956721,1275.41,33.35582438,Sierra Leone
4481,7.625,-12.125,3,22,9,52.21140853,26.49970068,55.58128795,26.732404,17.68459762,13.00153938,1.824172581,2.294684853,3.94329941,1301.69,25.96784401,Sierra Leone
4482,7.625,-11.875,3,14,9,51.44242922,30.3544522,61.70209274,23.48428396,14.81460812,8.649979483,1.755148952,1.697045219,4.507016824,1323.28,25.97849815,Sierra Leone
4483,7.625,-11.625,3,10,9,51.05530973,27.00524418,63.11176663,22.76860046,14.1175844,7.458784005,1.900451492,1.644599312,4.592264831,1358.83,25.98770895,Sierra Leone
4484,7.625,-11.375,2,26,9,51.26119036,24.86071487,60.88096409,23.92285621,15.19937695,8.618544024,2.15020495,1.837183308,4.575094278,1369.46,26.94007214,Sierra Leone
4485,7.625,-11.125,2,23,9,51.92550402,27.16628422,59.97541387,23.15358138,16.86690706,8.837977381,2.053778886,2.356836583,4.843304376,1496.47,25.76003934,Sierra Leone
4486,7.625,-10.875,2,16,9,49.74244038,21.35663361,55.32688683,26.02876342,18.6388593,9.426534459,2.294223551,2.354337457,4.609276407,1366.4,25.99434565,Sierra Leone
4487,7.625,-9.375,1,31,10,49.01671994,13.80632735,55.42086714,25.33251373,19.25096304,12.41144169,2.131238418,1.822042454,4.963035817,1294.28,27.75280715,Liberia
4488,7.625,-9.125,1,31,10,50.24807409,11.64161613,54.02335683,24.84010818,21.13645304,12.42804458,2.235744141,1.610612358,4.858875594,1289.51,31.29421406,Guinea
4489,7.625,-8.875,2,3,10,50.19811475,10.51336066,54.23237705,24.58844262,21.18008197,12.91565574,2.268513933,1.688055655,4.874016393,1308.01,30.82081967,Guinea
4490,7.625,-8.625,2,3,10,51.50573582,11.34128155,54.65175352,23.97189446,21.37053425,16.75549,2.342454931,1.827330546,4.960340872,1243.47,33.29080629,Liberia
4491,7.625,-8.375,2,5,10,51.87618013,17.89222157,51.71091988,25.78811931,22.50304954,15.69145292,2.402245799,2.46145317,4.826802573,1221.04,31.64867575,Guinea
4492,7.625,-8.125,2,5,10,51.85548091,19.63345895,50.68974275,25.48091103,23.8313944,16.87440603,2.420676716,2.231255283,4.961002786,1197.61,35.177126,C“te d'Ivoire
