LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4
531,MALAWI,CHITEDZE,Eastern and Southern Africa,-13.98,33.63,1140,lat-13.875_long33.625.txt,,,
532,MALAWI,LUNYANGWA,Eastern and Southern Africa,-11.45,33.917,1290,lat-11.375_long33.875.txt,,,
533,MALAWI,MAKOKA,Eastern and Southern Africa,-14.7,35.6,856,lat-14.625_long35.625.txt,,,
534,MALAWI,MBAWA,Eastern and Southern Africa,-12.1,33.5,1357,lat-12.125_long33.375.txt,lat-12.125_long33.625.txt,,
535,MALAWI,MPHIMBI,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
536,MALAWI,NGABU,Eastern and Southern Africa,-16.47,34.92,91,lat-16.375_long34.875.txt,,,
537,MALAWI,NOT IDENTIFIED,Eastern and Southern Africa,0,0,0,lat-0.125_long-0.125.txt,lat0.125_long-0.125.txt,lat-0.125_long0.125.txt,lat0.125_long0.125.txt
538,MALAWI,SALIMA,Eastern and Southern Africa,-13.75,34.58,503,lat-13.875_long34.625.txt,lat-13.625_long34.625.txt,,
539,MALAWI,TSANGANO,Eastern and Southern Africa,-15.18,34.62,1539,lat-15.125_long34.625.txt,,,
540,MALAWI,ZOMBA,Eastern and Southern Africa,-15.38,35.33,937,lat-15.375_long35.375.txt,,,
724,MOZAMBIQUE,ANGONIA TETE,Eastern and Southern Africa,-16.16,33.59,145,lat-16.125_long33.625.txt,,,
726,MOZAMBIQUE,CHOKWE,Eastern and Southern Africa,-24.53,33,32,lat-24.625_long32.875.txt,lat-24.625_long33.125.txt,,
728,MOZAMBIQUE,LICHINGA,Eastern and Southern Africa,-13.3,35.23,1289,lat-13.375_long35.125.txt,,,
729,MOZAMBIQUE,MAPUPULO,Eastern and Southern Africa,-13.24,38.87,513,lat-13.125_long38.875.txt,,,
731,MOZAMBIQUE,MOCUBA,Eastern and Southern Africa,-16.84,38.26,66,lat-16.875_long38.375.txt,,,
732,MOZAMBIQUE,MORRUMBALA-ZAMBEZIA,Eastern and Southern Africa,-17.33,35.58,413,lat-17.375_long35.625.txt,,,
