FID,DOY,LAT,LON
214,179,16.125,-12.375
215,178,16.125,-12.375
216,179,16.125,-12.375
217,179,16.125,-12.375
218,188,16.125,-12.125
219,179,16.125,-12.125
220,179,16.125,-12.125
221,179,16.125,-12.125
222,179,16.125,-12.125
223,179,16.125,-12.125
224,179,16.125,-12.125
225,174,16.125,-12.125
226,174,16.125,-12.125
227,179,16.125,-11.875
228,179,16.125,-11.875
229,179,16.125,-11.875
230,177,16.125,-11.875
231,174,16.125,-11.875
232,174,16.125,-11.875
233,174,16.125,-11.875
234,174,16.125,-11.875
235,174,16.125,-11.875
236,179,16.125,-11.625
237,179,16.125,-11.625
238,179,16.125,-11.625
239,174,16.125,-11.625
240,174,16.125,-11.625
241,174,16.125,-11.625
242,174,16.125,-11.625
243,174,16.125,-11.625
244,174,16.125,-11.625
245,179,16.125,-11.375
246,177,16.125,-11.375
247,177,16.125,-11.375
248,174,16.125,-11.375
249,174,16.125,-11.375
250,174,16.125,-11.375
251,174,16.125,-11.375
252,174,16.125,-11.375
253,174,16.125,-11.375
254,177,16.125,-11.125
255,180,16.125,-11.125
256,180,16.125,-11.125
257,174,16.125,-11.125
258,173,16.125,-11.125
259,173,16.125,-11.125
260,174,16.125,-11.125
261,174,16.125,-11.125
262,174,16.125,-11.125
263,180,16.125,-10.875
264,180,16.125,-10.875
265,180,16.125,-10.875
266,173,16.125,-10.875
267,176,16.125,-10.875
268,180,16.125,-10.875
269,174,16.125,-10.875
270,174,16.125,-10.875
271,174,16.125,-10.875
272,180,16.125,-10.625
273,180,16.125,-10.625
274,180,16.125,-10.625
275,177,16.125,-10.625
276,180,16.125,-10.625
277,180,16.125,-10.625
278,177,16.125,-10.625
279,177,16.125,-10.625
280,177,16.125,-10.625
281,180,16.125,-10.375
282,180,16.125,-10.375
283,180,16.125,-10.375
284,180,16.125,-10.375
285,180,16.125,-10.375
286,180,16.125,-10.375
287,177,16.125,-10.375
288,177,16.125,-10.375
289,177,16.125,-10.375
290,180,16.125,-10.125
291,180,16.125,-10.125
292,186,16.125,-10.125
293,180,16.125,-10.125
294,180,16.125,-10.125
295,180,16.125,-10.125
296,177,16.125,-10.125
297,180,16.125,-10.125
298,180,16.125,-10.125
299,186,16.125,-9.875
300,186,16.125,-9.875
301,180,16.125,-9.875
302,180,16.125,-9.875
303,180,16.125,-9.875
304,180,16.125,-9.875
305,180,16.125,-9.875
306,180,16.125,-9.875
307,180,16.125,-9.875
308,180,16.125,-9.625
309,180,16.125,-9.625
310,180,16.125,-9.625
311,180,16.125,-9.625
312,180,16.125,-9.625
313,180,16.125,-9.625
314,180,16.125,-9.625
315,180,16.125,-9.625
316,180,16.125,-9.625
317,180,16.125,-9.375
318,181,16.125,-9.375
319,181,16.125,-9.375
320,180,16.125,-9.375
321,180,16.125,-9.375
322,180,16.125,-9.375
323,180,16.125,-9.375
324,180,16.125,-9.375
325,180,16.125,-9.375
326,181,16.125,-9.125
327,175,16.125,-9.125
328,175,16.125,-9.125
329,180,16.125,-9.125
330,180,16.125,-9.125
331,180,16.125,-9.125
332,180,16.125,-9.125
333,180,16.125,-9.125
334,180,16.125,-9.125
335,180,16.125,4.625
336,180,16.125,4.625
337,180,16.125,4.625
338,180,16.125,4.625
339,180,16.125,4.625
340,180,16.125,4.625
341,180,16.125,4.625
342,180,16.125,4.625
343,180,16.125,4.625
344,180,16.125,4.875
345,180,16.125,4.875
346,180,16.125,4.875
347,180,16.125,4.875
348,180,16.125,4.875
349,180,16.125,4.875
350,180,16.125,4.875
351,180,16.125,4.875
352,180,16.125,4.875
353,171,15.875,-16.375
354,172,15.875,-16.375
355,172,15.875,-16.375
356,170,15.875,-16.375
357,170,15.875,-16.375
358,170,15.875,-16.375
359,170,15.875,-16.375
360,172,15.875,-16.375
361,171,15.875,-16.375
362,181,15.875,-16.125
363,181,15.875,-16.125
364,181,15.875,-16.125
365,170,15.875,-16.125
366,173,15.875,-16.125
367,173,15.875,-16.125
368,172,15.875,-16.125
369,172,15.875,-16.125
370,172,15.875,-16.125
371,186,15.875,-14.625
372,186,15.875,-14.625
373,180,15.875,-14.625
374,175,15.875,-14.625
375,181,15.875,-14.625
376,181,15.875,-14.625
377,173,15.875,-14.625
378,173,15.875,-14.625
379,173,15.875,-14.625
380,180,15.875,-14.375
381,180,15.875,-14.375
382,180,15.875,-14.375
383,181,15.875,-14.375
384,181,15.875,-14.375
385,181,15.875,-14.375
386,173,15.875,-14.375
387,173,15.875,-14.375
388,179,15.875,-14.375
389,180,15.875,-14.125
390,180,15.875,-14.125
391,181,15.875,-14.125
392,181,15.875,-14.125
393,181,15.875,-14.125
394,181,15.875,-14.125
395,179,15.875,-14.125
396,179,15.875,-14.125
397,179,15.875,-14.125
398,180,15.875,-13.875
399,180,15.875,-13.875
400,180,15.875,-13.875
401,181,15.875,-13.875
402,181,15.875,-13.875
403,181,15.875,-13.875
404,179,15.875,-13.875
405,179,15.875,-13.875
406,179,15.875,-13.875
407,180,15.875,-13.625
408,180,15.875,-13.625
409,180,15.875,-13.625
410,181,15.875,-13.625
411,180,15.875,-13.625
412,178,15.875,-13.625
413,179,15.875,-13.625
414,173,15.875,-13.625
415,173,15.875,-13.625
416,180,15.875,-13.375
417,178,15.875,-13.375
418,178,15.875,-13.375
419,178,15.875,-13.375
420,178,15.875,-13.375
421,172,15.875,-13.375
422,171,15.875,-13.375
423,171,15.875,-13.375
424,171,15.875,-13.375
425,178,15.875,-13.125
426,178,15.875,-13.125
427,178,15.875,-13.125
428,172,15.875,-13.125
429,172,15.875,-13.125
430,172,15.875,-13.125
431,172,15.875,-13.125
432,172,15.875,-13.125
433,172,15.875,-13.125
434,178,15.875,-12.875
435,178,15.875,-12.875
436,178,15.875,-12.875
437,172,15.875,-12.875
438,172,15.875,-12.875
439,172,15.875,-12.875
440,172,15.875,-12.875
441,173,15.875,-12.875
442,173,15.875,-12.875
443,178,15.875,-12.625
444,178,15.875,-12.625
445,172,15.875,-12.625
446,173,15.875,-12.625
447,173,15.875,-12.625
448,173,15.875,-12.625
449,173,15.875,-12.625
450,173,15.875,-12.625
451,173,15.875,-12.625
452,170,15.875,-12.125
453,170,15.875,-12.125
454,173,15.875,-12.125
455,173,15.875,-12.125
456,168,15.875,-12.125
457,168,15.875,-12.125
458,168,15.875,-12.125
459,168,15.875,-12.125
460,171,15.875,-12.125
461,173,15.875,-11.875
462,174,15.875,-11.875
463,174,15.875,-11.875
464,171,15.875,-11.875
465,171,15.875,-11.875
466,171,15.875,-11.875
467,171,15.875,-11.875
468,171,15.875,-11.875
469,171,15.875,-11.875
470,174,15.875,-11.625
471,174,15.875,-11.625
472,174,15.875,-11.625
473,171,15.875,-11.625
474,174,15.875,-11.625
475,174,15.875,-11.625
476,171,15.875,-11.625
477,171,15.875,-11.625
478,174,15.875,-11.625
479,174,15.875,-11.375
480,174,15.875,-11.375
481,174,15.875,-11.375
482,174,15.875,-11.375
483,174,15.875,-11.375
484,174,15.875,-11.375
485,162,15.875,-11.375
486,162,15.875,-11.375
487,165,15.875,-11.375
488,174,15.875,-11.125
489,174,15.875,-11.125
490,174,15.875,-11.125
491,174,15.875,-11.125
492,174,15.875,-11.125
493,174,15.875,-11.125
494,165,15.875,-11.125
495,165,15.875,-11.125
496,173,15.875,-11.125
497,174,15.875,-10.875
498,174,15.875,-10.875
499,174,15.875,-10.875
500,174,15.875,-10.875
501,174,15.875,-10.875
502,174,15.875,-10.875
503,173,15.875,-10.875
504,173,15.875,-10.875
505,173,15.875,-10.875
506,174,15.875,-10.625
507,174,15.875,-10.625
508,177,15.875,-10.625
509,174,15.875,-10.625
510,174,15.875,-10.625
511,174,15.875,-10.625
512,173,15.875,-10.625
513,173,15.875,-10.625
514,170,15.875,-10.625
515,177,15.875,-10.375
516,177,15.875,-10.375
517,177,15.875,-10.375
518,162,15.875,-10.375
519,177,15.875,-10.375
520,177,15.875,-10.375
521,160,15.875,-10.375
522,176,15.875,-10.375
523,176,15.875,-10.375
524,177,15.875,-10.125
525,177,15.875,-10.125
526,177,15.875,-10.125
527,177,15.875,-10.125
528,177,15.875,-10.125
529,177,15.875,-10.125
530,172,15.875,-10.125
531,172,15.875,-10.125
532,177,15.875,-10.125
533,177,15.875,-9.875
534,177,15.875,-9.875
535,177,15.875,-9.875
536,177,15.875,-9.875
537,177,15.875,-9.875
538,177,15.875,-9.875
539,177,15.875,-9.875
540,177,15.875,-9.875
541,177,15.875,-9.875
542,177,15.875,-9.625
543,177,15.875,-9.625
544,177,15.875,-9.625
545,177,15.875,-9.625
546,177,15.875,-9.625
547,177,15.875,-9.625
548,177,15.875,-9.625
549,177,15.875,-9.625
550,177,15.875,-9.625
551,177,15.875,-9.375
552,177,15.875,-9.375
553,177,15.875,-9.375
554,177,15.875,-9.375
555,177,15.875,-9.375
556,177,15.875,-9.375
557,177,15.875,-9.375
558,172,15.875,-9.375
559,172,15.875,-9.375
560,177,15.875,-9.125
561,177,15.875,-9.125
562,177,15.875,-9.125
563,177,15.875,-9.125
564,177,15.875,-9.125
565,177,15.875,-9.125
566,172,15.875,-9.125
567,172,15.875,-9.125
568,177,15.875,-9.125
569,171,15.875,4.875
570,171,15.875,4.875
571,180,15.875,4.875
572,171,15.875,4.875
573,171,15.875,4.875
574,171,15.875,4.875
575,168,15.875,4.875
576,168,15.875,4.875
577,168,15.875,4.875
578,174,15.875,23.625
579,174,15.875,23.625
580,174,15.875,23.625
581,174,15.875,23.625
582,174,15.875,23.625
583,174,15.875,23.625
584,174,15.875,23.625
585,174,15.875,23.625
586,177,15.875,23.625
587,165,15.875,38.125
588,165,15.875,38.125
589,172,15.875,38.125
590,165,15.875,38.125
591,156,15.875,38.125
592,172,15.875,38.125
593,168,15.875,38.125
594,168,15.875,38.125
595,153,15.875,38.375
596,167,15.875,38.375
597,164,15.875,38.375
598,165,15.875,38.375
599,156,15.875,38.375
600,159,15.875,38.375
601,152,15.875,38.625
602,159,15.875,38.625
603,174,15.625,-14.625
604,174,15.625,-14.625
605,174,15.625,-14.625
606,170,15.625,-14.625
607,169,15.625,-14.625
608,168,15.625,-14.625
609,168,15.625,-14.625
610,170,15.625,-14.625
611,170,15.625,-14.625
612,174,15.625,-14.375
613,173,15.625,-14.375
614,173,15.625,-14.375
615,174,15.625,-14.375
616,174,15.625,-14.375
617,174,15.625,-14.375
618,170,15.625,-14.375
619,170,15.625,-14.375
620,169,15.625,-14.375
621,173,15.625,-14.125
622,173,15.625,-14.125
623,173,15.625,-14.125
624,174,15.625,-14.125
625,174,15.625,-14.125
626,174,15.625,-14.125
627,169,15.625,-14.125
628,169,15.625,-14.125
629,169,15.625,-14.125
630,174,15.625,-13.875
631,174,15.625,-13.875
632,174,15.625,-13.875
633,174,15.625,-13.875
634,174,15.625,-13.875
635,174,15.625,-13.875
636,169,15.625,-13.875
637,169,15.625,-13.875
638,169,15.625,-13.875
639,171,15.625,-13.375
640,171,15.625,-13.375
641,172,15.625,-13.375
642,169,15.625,-13.375
643,169,15.625,-13.375
644,169,15.625,-13.375
645,169,15.625,-13.375
646,169,15.625,-13.375
647,170,15.625,-13.375
648,172,15.625,-13.125
649,172,15.625,-13.125
650,172,15.625,-13.125
651,169,15.625,-13.125
652,169,15.625,-13.125
653,169,15.625,-13.125
654,170,15.625,-13.125
655,170,15.625,-13.125
656,170,15.625,-13.125
657,172,15.625,-12.875
658,169,15.625,-12.875
659,172,15.625,-12.875
660,173,15.625,-12.875
661,173,15.625,-12.875
662,173,15.625,-12.875
663,170,15.625,-12.875
664,170,15.625,-12.875
665,173,15.625,-12.875
666,173,15.625,-12.625
667,173,15.625,-12.625
668,171,15.625,-12.625
669,173,15.625,-12.625
670,173,15.625,-12.625
671,173,15.625,-12.625
672,162,15.625,-12.625
673,168,15.625,-12.625
674,168,15.625,-12.625
675,168,15.625,-12.125
676,171,15.625,-12.125
677,171,15.625,-12.125
678,171,15.625,-12.125
679,171,15.625,-12.125
680,171,15.625,-12.125
681,173,15.625,-12.125
682,171,15.625,-12.125
683,171,15.625,-12.125
684,171,15.625,-11.875
685,171,15.625,-11.875
686,171,15.625,-11.875
687,161,15.625,-11.875
688,171,15.625,-11.875
689,172,15.625,-11.875
690,161,15.625,-11.875
691,161,15.625,-11.875
692,164,15.625,-11.875
693,171,15.625,-11.625
694,171,15.625,-11.625
695,161,15.625,-11.625
696,172,15.625,-11.625
697,172,15.625,-11.625
698,172,15.625,-11.625
699,164,15.625,-11.625
700,164,15.625,-11.625
701,164,15.625,-11.625
702,173,15.625,-11.375
703,165,15.625,-11.375
704,165,15.625,-11.375
705,172,15.625,-11.375
706,161,15.625,-11.375
707,173,15.625,-11.375
708,161,15.625,-11.375
709,161,15.625,-11.375
710,164,15.625,-11.375
711,169,15.625,-11.125
712,169,15.625,-11.125
713,169,15.625,-11.125
714,173,15.625,-11.125
715,173,15.625,-11.125
716,173,15.625,-11.125
717,164,15.625,-11.125
718,161,15.625,-11.125
719,173,15.625,-11.125
720,169,15.625,-10.875
721,160,15.625,-10.875
722,160,15.625,-10.875
723,173,15.625,-10.875
724,173,15.625,-10.875
725,173,15.625,-10.875
726,173,15.625,-10.875
727,173,15.625,-10.875
728,173,15.625,-10.875
729,165,15.625,-10.625
730,174,15.625,-10.625
731,174,15.625,-10.625
732,173,15.625,-10.625
733,173,15.625,-10.625
734,165,15.625,-10.625
735,173,15.625,-10.625
736,173,15.625,-10.625
737,170,15.625,-10.625
738,174,15.625,-10.375
739,170,15.625,-10.375
740,170,15.625,-10.375
741,174,15.625,-10.375
742,174,15.625,-10.375
743,174,15.625,-10.375
744,170,15.625,-10.375
745,170,15.625,-10.375
746,174,15.625,-10.375
747,162,15.625,-10.125
748,176,15.625,-10.125
749,176,15.625,-10.125
750,174,15.625,-10.125
751,174,15.625,-10.125
752,174,15.625,-10.125
753,174,15.625,-10.125
754,174,15.625,-10.125
755,174,15.625,-10.125
756,176,15.625,-9.875
757,176,15.625,-9.875
758,176,15.625,-9.875
759,162,15.625,-9.875
760,162,15.625,-9.875
761,162,15.625,-9.875
762,174,15.625,-9.875
763,174,15.625,-9.875
764,162,15.625,-9.875
765,176,15.625,-9.625
766,176,15.625,-9.625
767,176,15.625,-9.625
768,162,15.625,-9.625
769,162,15.625,-9.625
770,162,15.625,-9.625
771,162,15.625,-9.625
772,162,15.625,-9.625
773,162,15.625,-9.625
774,176,15.625,-9.375
775,176,15.625,-9.375
776,176,15.625,-9.375
777,162,15.625,-9.375
778,162,15.625,-9.375
779,162,15.625,-9.375
780,162,15.625,-9.375
781,162,15.625,-9.375
782,162,15.625,-9.375
783,172,15.625,-9.125
784,172,15.625,-9.125
785,172,15.625,-9.125
786,162,15.625,-9.125
787,162,15.625,-9.125
788,162,15.625,-9.125
789,162,15.625,-9.125
790,162,15.625,-9.125
791,162,15.625,-9.125
792,179,15.625,-4.375
793,179,15.625,-4.375
794,179,15.625,-4.375
795,179,15.625,-4.375
796,179,15.625,-4.375
797,179,15.625,-4.375
798,181,15.625,-4.375
799,181,15.625,-4.375
800,179,15.625,-4.375
801,179,15.625,-4.125
802,179,15.625,-4.125
803,179,15.625,-4.125
804,179,15.625,-4.125
805,179,15.625,-4.125
806,179,15.625,-4.125
807,179,15.625,-4.125
808,179,15.625,-4.125
809,179,15.625,-3.875
810,179,15.625,-3.875
811,179,15.625,-3.875
812,179,15.625,-3.875
813,179,15.625,-3.875
814,182,15.625,-3.875
815,168,15.625,4.625
816,168,15.625,4.625
817,168,15.625,4.625
818,168,15.625,4.625
819,168,15.625,4.625
820,168,15.625,4.625
821,168,15.625,4.625
822,168,15.625,4.625
823,168,15.625,4.625
824,168,15.625,4.875
825,168,15.625,4.875
826,168,15.625,4.875
827,168,15.625,4.875
828,168,15.625,4.875
829,168,15.625,4.875
830,168,15.625,4.875
831,168,15.625,4.875
832,168,15.625,4.875
833,168,15.625,5.125
834,168,15.625,5.125
835,168,15.625,5.125
836,168,15.625,5.125
837,168,15.625,5.125
838,168,15.625,5.125
839,168,15.625,5.125
840,168,15.625,5.125
841,168,15.625,5.125
842,168,15.625,5.375
843,168,15.625,5.375
844,171,15.625,5.375
845,168,15.625,5.375
846,168,15.625,5.375
847,168,15.625,5.375
848,168,15.625,5.375
849,168,15.625,5.375
850,168,15.625,5.375
851,171,15.625,5.625
852,171,15.625,5.625
853,171,15.625,5.625
854,168,15.625,5.625
855,168,15.625,5.625
856,171,15.625,5.625
857,168,15.625,5.625
858,168,15.625,5.625
859,168,15.625,5.625
860,171,15.625,5.875
861,171,15.625,5.875
862,171,15.625,5.875
863,171,15.625,5.875
864,171,15.625,5.875
865,171,15.625,5.875
866,173,15.625,5.875
867,173,15.625,5.875
868,173,15.625,5.875
869,177,15.625,7.125
870,177,15.625,7.125
871,177,15.625,7.125
872,177,15.625,7.125
873,180,15.625,7.125
874,177,15.625,7.125
875,177,15.625,7.125
876,177,15.625,23.875
877,177,15.625,23.875
878,177,15.625,23.875
879,177,15.625,23.875
880,177,15.625,23.875
881,177,15.625,23.875
882,177,15.625,23.875
883,177,15.625,23.875
884,177,15.625,23.875
885,171,15.625,37.625
886,171,15.625,37.625
887,171,15.625,37.625
888,171,15.625,37.625
889,171,15.625,37.875
890,171,15.625,37.875
891,177,15.625,37.875
892,171,15.625,37.875
893,171,15.625,37.875
894,177,15.625,37.875
895,171,15.625,37.875
896,171,15.625,37.875
897,168,15.625,37.875
898,177,15.625,38.125
899,168,15.625,38.125
900,168,15.625,38.125
901,168,15.625,38.125
902,168,15.625,38.125
903,168,15.625,38.125
904,168,15.625,38.125
905,168,15.625,38.125
906,168,15.625,38.125
907,168,15.625,38.375
908,168,15.625,38.375
909,141,15.625,38.375
910,168,15.625,38.375
911,168,15.625,38.375
912,159,15.625,38.375
913,168,15.625,38.375
914,168,15.625,38.375
915,159,15.625,38.375
916,146,15.625,38.625
917,146,15.625,38.625
918,146,15.625,38.625
919,146,15.625,38.625
920,156,15.625,38.625
921,122,15.625,38.625
922,141,15.625,38.875
923,149,15.625,38.875
924,140,15.625,38.875
925,143,15.625,38.875
926,140,15.625,38.875
927,150,15.625,38.875
928,162,15.375,-16.875
929,161,15.375,-16.875
930,161,15.375,-16.375
931,161,15.375,-16.375
932,163,15.375,-16.375
933,161,15.375,-16.375
934,161,15.375,-16.375
935,161,15.375,-16.375
936,161,15.375,-16.375
937,161,15.375,-16.375
938,161,15.375,-16.375
939,168,15.375,-14.625
940,168,15.375,-14.625
941,168,15.375,-14.625
942,169,15.375,-14.625
943,169,15.375,-14.625
944,169,15.375,-14.625
945,170,15.375,-14.625
946,170,15.375,-14.625
947,170,15.375,-14.625
948,168,15.375,-14.375
949,168,15.375,-14.375
950,168,15.375,-14.375
951,169,15.375,-14.375
952,169,15.375,-14.375
953,169,15.375,-14.375
954,169,15.375,-14.375
955,169,15.375,-14.375
956,169,15.375,-14.375
957,168,15.375,-14.125
958,168,15.375,-14.125
959,168,15.375,-14.125
960,169,15.375,-14.125
961,169,15.375,-14.125
962,169,15.375,-14.125
963,169,15.375,-14.125
964,169,15.375,-14.125
965,169,15.375,-14.125
966,168,15.375,-13.875
967,171,15.375,-13.875
968,171,15.375,-13.875
969,169,15.375,-13.875
970,169,15.375,-13.875
971,169,15.375,-13.875
972,169,15.375,-13.875
973,169,15.375,-13.875
974,169,15.375,-13.875
975,170,15.375,-13.375
976,170,15.375,-13.375
977,170,15.375,-13.375
978,170,15.375,-13.375
979,170,15.375,-13.375
980,170,15.375,-13.375
981,170,15.375,-13.375
982,170,15.375,-13.375
983,171,15.375,-13.375
984,170,15.375,-13.125
985,170,15.375,-13.125
986,171,15.375,-13.125
987,170,15.375,-13.125
988,171,15.375,-13.125
989,162,15.375,-13.125
990,171,15.375,-13.125
991,162,15.375,-13.125
992,162,15.375,-13.125
993,162,15.375,-12.875
994,162,15.375,-12.875
995,162,15.375,-12.875
996,162,15.375,-12.875
997,162,15.375,-12.875
998,170,15.375,-12.875
999,162,15.375,-12.875
1000,162,15.375,-12.875
1001,163,15.375,-12.875
1002,162,15.375,-12.625
1003,162,15.375,-12.625
1004,162,15.375,-12.625
1005,161,15.375,-12.625
1006,162,15.375,-12.625
1007,162,15.375,-12.625
1008,161,15.375,-12.625
1009,161,15.375,-12.625
1010,159,15.375,-12.625
1011,161,15.375,-12.375
1012,171,15.375,-12.375
1013,171,15.375,-12.375
1014,162,15.375,-12.375
1015,160,15.375,-12.375
1016,161,15.375,-12.375
1017,159,15.375,-12.375
1018,160,15.375,-12.375
1019,160,15.375,-12.375
1020,172,15.375,-12.125
1021,164,15.375,-12.125
1022,164,15.375,-12.125
1023,159,15.375,-12.125
1024,160,15.375,-12.125
1025,164,15.375,-12.125
1026,160,15.375,-12.125
1027,158,15.375,-12.125
1028,158,15.375,-12.125
1029,164,15.375,-11.875
1030,164,15.375,-11.875
1031,164,15.375,-11.875
1032,164,15.375,-11.875
1033,164,15.375,-11.875
1034,164,15.375,-11.875
1035,158,15.375,-11.875
1036,158,15.375,-11.875
1037,164,15.375,-11.875
1038,164,15.375,-11.375
1039,164,15.375,-11.375
1040,164,15.375,-11.375
1041,171,15.375,-11.375
1042,171,15.375,-11.375
1043,171,15.375,-11.375
1044,164,15.375,-11.375
1045,171,15.375,-11.375
1046,171,15.375,-11.375
1047,164,15.375,-11.125
1048,164,15.375,-11.125
1049,164,15.375,-11.125
1050,171,15.375,-11.125
1051,171,15.375,-11.125
1052,171,15.375,-11.125
1053,164,15.375,-11.125
1054,164,15.375,-11.125
1055,164,15.375,-11.125
1056,164,15.375,-10.875
1057,164,15.375,-10.875
1058,173,15.375,-10.875
1059,171,15.375,-10.875
1060,171,15.375,-10.875
1061,168,15.375,-10.875
1062,171,15.375,-10.875
1063,171,15.375,-10.875
1064,171,15.375,-10.875
1065,173,15.375,-10.625
1066,173,15.375,-10.625
1067,170,15.375,-10.625
1068,168,15.375,-10.625
1069,165,15.375,-10.625
1070,165,15.375,-10.625
1071,168,15.375,-10.625
1072,168,15.375,-10.625
1073,168,15.375,-10.625
1074,170,15.375,-10.375
1075,170,15.375,-10.375
1076,170,15.375,-10.375
1077,170,15.375,-10.375
1078,170,15.375,-10.375
1079,170,15.375,-10.375
