FID,FID_1,ObjectID,locationid,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,OBJECTID_1,Id,gridcode,Shape_Leng,Shape_Area
35,99,100,1032,ZAMBIA,MISAMFU,Eastern and Southern Africa,-10.2,31.1,1377,master only (1),0,1,1,1,1,0,0,0,0,"1,246","1,246",13,61.74274408,16.25093791
36,39,40,532,MALAWI,LUNYANGWA,Eastern and Southern Africa,-11.45,33.917,1290,master only (1),0,1,1,1,1,1,1,0,0,"1,277","1,277",13,4.983514074,0.629862583
37,41,42,534,MALAWI,MBAWA,Eastern and Southern Africa,-12.1,33.5,1357,master only (1),0,1,1,0,1,1,1,1,1,"1,279","1,279",12,3.43090056,0.222052492
38,47,48,728,MOZAMBIQUE,LICHINGA,Eastern and Southern Africa,-13.3,35.23,1289,master only (1),0,0,0,0,1,1,0,0,0,"1,315","1,315",13,2.057141486,0.146823598
39,25,26,501,KENYA,MTWAPA,Eastern and Southern Africa,-3.93,39.75,23,master only (1),1,0,0,0,0,0,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
40,32,33,524,MALAWI,BAKA,Eastern and Southern Africa,-9.75,34,477,master only (1),0,1,1,0,0,1,1,1,1,"1,321","1,321",9,65.6487248,32.55756042
41,37,38,530,MALAWI,CHITALA,Eastern and Southern Africa,-13.13,34.07,769,master only (1),0,1,1,1,1,1,1,1,1,"1,321","1,321",9,65.6487248,32.55756042
42,70,71,908,TANZANIA,CHOLIMA,Eastern and Southern Africa,-7.43,37.7,151,master only (1),0,0,0,0,0,0,0,1,0,"1,321","1,321",9,65.6487248,32.55756042
43,71,72,911,TANZANIA,DAKAWA,Eastern and Southern Africa,-7.43,37.7,151,master only (1),0,0,0,0,0,1,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
44,72,73,912,TANZANIA,ILONGA,Eastern and Southern Africa,-6.77,37.03,554,master only (1),0,0,1,0,1,1,1,1,0,"1,321","1,321",9,65.6487248,32.55756042
45,74,75,914,TANZANIA,KATRIN,Eastern and Southern Africa,-8.133,36.683,262,master only (1),1,0,0,0,0,1,1,1,0,"1,321","1,321",9,65.6487248,32.55756042
46,75,76,915,TANZANIA,KATRIN1,Eastern and Southern Africa,-8.13,36.68,262,master only (1),0,0,1,0,0,0,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
47,76,77,916,TANZANIA,KATRIN2,Eastern and Southern Africa,-8.13,36.68,262,master only (1),0,0,1,0,0,0,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
48,80,81,921,TANZANIA,MLINGANO,Eastern and Southern Africa,-5.07,38.92,100,master only (1),1,0,0,0,0,0,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
49,159,160,909,TANZANIA,CHOLLIMA,Eastern and Southern Africa,-7.43,37.7,151,0,0,0,0,0,0,0,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
50,160,161,917,TANZANIA,KATRIN-IFAKARA,Eastern and Southern Africa,-8.13,36.68,262,0,0,0,0,0,0,0,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
51,161,162,923,TANZANIA,MOROGORO,Eastern and Southern Africa,-6.83,37.65,517,0,0,0,0,0,0,0,0,0,0,"1,321","1,321",9,65.6487248,32.55756042
52,1,2,7,ANGOLA,CACUSO,Eastern and Southern Africa,-9.42,15.75,1067,master only (1),0,0,0,0,1,1,1,0,0,"1,348","1,348",9,210.9545589,108.3193146
53,7,8,14,ANGOLA,MALANGE,Eastern and Southern Africa,-9.533,16.333,1149,master only (1),0,0,1,0,0,0,1,0,0,"1,348","1,348",9,210.9545589,108.3193146
54,10,11,17,ANGOLA,POLIGNO-FLORESTA,Eastern and Southern Africa,-9.52,16.32,1162,master only (1),0,0,1,0,0,0,0,0,0,"1,348","1,348",9,210.9545589,108.3193146
55,83,84,929,TANZANIA,TABORA,Eastern and Southern Africa,-5.02,32.8,1192,master only (1),0,0,0,1,1,0,0,0,0,"1,348","1,348",9,210.9545589,108.3193146
56,93,94,1020,ZAIRE,MVUAZI,Eastern and Southern Africa,-5.45,14.9,430,master only (1),0,1,1,0,0,0,0,0,0,"1,348","1,348",9,210.9545589,108.3193146
57,176,177,1030,ZAMBIA,MANSA,Eastern and Southern Africa,-11.12,28.53,1070,0,0,0,0,0,0,0,0,0,0,"1,348","1,348",9,210.9545589,108.3193146
58,44,45,539,MALAWI,TSANGANO,Eastern and Southern Africa,-15.18,34.62,1539,master only (1),0,0,0,0,1,1,1,1,1,"1,446","1,446",12,6.405322689,0.689948253
59,135,136,540,MALAWI,ZOMBA,Eastern and Southern Africa,-15.38,35.33,937,0,0,0,0,0,0,0,0,0,0,"1,450","1,450",13,0.500000108,0.013888895
60,100,101,1034,ZAMBIA,MOUNT MAKULU,Eastern and Southern Africa,-15.5,28.3,1299,master only (1),1,1,1,0,1,1,1,1,1,"1,460","1,460",12,1.355931453,0.092680369
61,2,3,8,ANGOLA,CELA,Eastern and Southern Africa,-11.42,15.12,1305,master only (1),0,0,0,0,1,1,1,1,0,"1,517","1,517",12,65.8659354,27.36760011
62,3,4,9,ANGOLA,CHIANGA,Eastern and Southern Africa,-12.73,15.83,1693,master only (1),0,1,1,0,1,1,1,0,0,"1,517","1,517",12,65.8659354,27.36760011
63,4,5,10,ANGOLA,HUMPATA,Eastern and Southern Africa,-15.03,13.43,1890,master only (1),0,0,0,1,1,1,1,0,0,"1,517","1,517",12,65.8659354,27.36760011
64,115,116,1056,ZIMBABWE,MARONDERA,Eastern and Southern Africa,-18.8,31.6,1084,master only (1),0,0,0,1,1,1,0,0,0,"1,582","1,582",8,0.314407744,0.004754659
65,105,106,1042,ZIMBABWE,ARCTURUS,Eastern and Southern Africa,-17.783,31.317,1375,master only (1),1,0,0,0,1,1,0,0,0,"1,642","1,642",12,25.70340714,7.244074981
66,110,111,1050,ZIMBABWE,GWEBI,Eastern and Southern Africa,-17.7,30.85,1441,master only (1),0,0,0,0,0,1,1,1,1,"1,642","1,642",12,25.70340714,7.244074981
67,111,112,1051,ZIMBABWE,HARARE,Eastern and Southern Africa,-17.8,31.05,1498,master only (1),1,1,1,1,1,1,1,1,1,"1,642","1,642",12,25.70340714,7.244074981
68,112,113,1052,ZIMBABWE,KADOMA,Eastern and Southern Africa,-18.32,30.9,1325,master only (1),0,1,1,0,1,1,1,1,0,"1,642","1,642",12,25.70340714,7.244074981
