FID,FID_1,ObjectID,locationid,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,OBJECTID_1,Id,gridcode,Shape_Leng,Shape_Area
139,63,64,887,SOUTH AFRICA REP.,SETLAGOLE,Eastern and Southern Africa,-26.28,25.12,1231,master only (1),0,1,1,0,0,0,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
140,131,132,521,LESOTHO,TEYATEYANENG,Eastern and Southern Africa,-29.15,27.75,1688,0,0,0,0,0,0,0,0,0,0,"2,265","2,265",5,70.51223752,26.32593857
141,0,1,6,ANGOLA,CABINDA,Eastern and Southern Africa,-5.6,12.2,22,master only (1),0,0,0,1,1,1,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
142,11,12,18,ANGOLA,ST. VINCENT,Eastern and Southern Africa,-5.57,12.2,57,master only (1),0,1,1,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
143,123,124,5,ANGOLA,ANGOLA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
144,127,128,210,CONGO,TSHIBATI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
145,130,131,299,ETHIOPIA,NULL,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
146,132,133,525,MALAWI,BAKA RESEARCH STATION,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
147,133,134,535,MALAWI,MPHIMBI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
148,134,135,537,MALAWI,NOT IDENTIFIED,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
149,137,138,733,MOZAMBIQUE,MOZAMBIQUE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
150,140,141,740,MOZAMBIQUE,SEMOL,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
151,141,142,742,MOZAMBIQUE,UMBELUZI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
152,142,143,743,MOZAMBIQUE,USSUDENGA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
153,143,144,752,NAMIBIA,MASHARE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
154,144,145,753,NAMIBIA,MITKOMST RESEARCH STATION,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
155,146,147,867,SOUTH AFRICA,FREIDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
156,147,148,868,SOUTH AFRICA,FRIEDENHEIM VALLEY,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
157,148,149,870,SOUTH AFRICA,MPUMALANGA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
158,151,152,874,SOUTH AFRICA,PETIT,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
159,152,153,876,SOUTH AFRICA,TSHIOMBO,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
160,154,155,893,SWAZILAND,LES,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
161,156,157,899,SWAZILAND,SHEWULA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
162,157,158,900,SWAZILAND,SWAZILAND,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
163,158,159,906,TANZANIA,ARUSHA SEED FARM AFSF,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
164,164,165,930,TANZANIA,TANZANIA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
165,166,167,951,UGANDA,BULEGENI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
166,167,168,952,UGANDA,BULENGENI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
167,169,170,959,UGANDA,MSK,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
168,170,171,965,UGANDA,UGANDA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
169,171,172,1021,ZAMBIA,CHISAMBA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
170,173,174,1026,ZAMBIA,KUTUMANI,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
171,174,175,1027,ZAMBIA,LYEMPE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
172,175,176,1028,ZAMBIA,MAGOBO,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
173,178,179,1039,ZAMBIA,ZAMBIA,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
174,181,182,1060,ZIMBABWE,PANNAR,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
175,182,183,1061,ZIMBABWE,PIONEER,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
176,184,185,1069,ZIMBABWE,ZIMBABWE,Eastern and Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,332","2,332",0,733.184089,"5,345.73"
177,96,97,1024,ZAMBIA,KASAMA, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,104,105,1041,ZAMBIA,ZAMSEED, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,106,107,1043,ZIMBABWE,AREX, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,107,108,1044,ZIMBABWE,ART FARM, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,109,110,1048,ZIMBABWE,DRSS, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,150,151,873,SOUTH AFRICA,PANNAR, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,168,169,957,UGANDA,LIKONDE, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,179,180,1046,ZIMBABWE,CIMMYT, ,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
