ObjectID,locationid,addedbyus,country,location,region,latitude,longitude,elevm,InStudy,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007
50,731,0,MOZAMBIQUE,MOCUBA,Eastern and Southern Africa,-16.84,38.26,66,1,0,0,0,0,0,0,0,0,1
51,736,0,MOZAMBIQUE,NAMPULA,Eastern and Southern Africa,-15.1,39.28,428,1,0,0,1,1,1,1,1,1,1
52,737,0,MOZAMBIQUE,NHACOONGO,Eastern and Southern Africa,-24.49,34.75,107,1,0,0,0,0,0,0,0,1,1
53,741,0,MOZAMBIQUE,SUSSUNDENGA,Eastern and Southern Africa,-19.33,33.22,642,1,0,1,1,1,1,1,1,1,1
54,864,0,SOUTH AFRICA,BARBERTON,Eastern and Southern Africa,-25.79,31.06,979,1,0,0,0,0,1,1,0,0,0
55,875,0,SOUTH AFRICA,POTCHESFTROOM,Eastern and Southern Africa,-26.7,27.1,1341,1,0,1,1,0,0,0,0,0,0
56,877,0,SOUTH AFRICA,VILJOONSKROON,Eastern and Southern Africa,-27.2,26.9,1341,1,0,1,1,0,0,0,0,0,0
57,878,0,SOUTH AFRICA REP.,BETLEHEM,Eastern and Southern Africa,-28.25,28.33,1682,1,0,1,1,0,0,0,0,0,0
58,880,0,SOUTH AFRICA REP.,EZOLIMO,Eastern and Southern Africa,-25.2,31.2,583,1,1,1,1,1,1,0,0,0,0
59,881,0,SOUTH AFRICA REP.,FRIEDENHEI,Eastern and Southern Africa,-25.47,30.97,671,1,0,1,1,0,0,0,0,0,0
60,882,0,SOUTH AFRICA REP.,GREYTOWN,Eastern and Southern Africa,-29.02,30.6,1288,1,1,1,1,1,1,1,0,1,1
61,884,0,SOUTH AFRICA REP.,LWAMONGO,Eastern and Southern Africa,-23.03,30.33,958,1,0,1,1,0,0,0,0,0,0
62,885,0,SOUTH AFRICA REP.,NELSPRUIT,Eastern and Southern Africa,-25.47,30.97,671,1,0,0,0,0,1,1,0,0,0
63,886,0,SOUTH AFRICA REP.,POTCHEFSTROOM,Eastern and Southern Africa,-26.67,27.07,1382,1,0,1,1,0,1,1,0,0,0
64,887,0,SOUTH AFRICA REP.,SETLAGOLE,Eastern and Southern Africa,-26.28,25.12,1231,1,0,1,1,0,0,0,0,0,0
65,896,0,SWAZILAND,MALKERNS,Eastern and Southern Africa,-26.553,31.165,747,1,0,0,0,0,1,1,1,1,0
66,897,0,SWAZILAND,MANGCONGO,Eastern and Southern Africa,-26.57,30.85,1435,1,0,0,0,0,0,0,1,1,0
67,898,0,SWAZILAND,NHLANGANO,Eastern and Southern Africa,-27.11,31.216,1065,1,0,0,0,1,1,0,0,0,0
68,904,0,TANZANIA,AFSF-ARUSHA,Eastern and Southern Africa,-3.3658,36.6745,1415,1,0,0,0,0,0,0,0,1,0
69,905,0,TANZANIA,ARUSHA,Eastern and Southern Africa,-3.18,36.7,1995,1,0,0,1,0,1,1,1,1,0
70,907,0,TANZANIA,ARUSHA TAN,Eastern and Southern Africa,-3.36,36.67,1415,1,0,0,1,0,0,0,0,0,0
71,908,0,TANZANIA,CHOLIMA,Eastern and Southern Africa,-7.43,37.7,151,1,0,0,0,0,0,0,0,1,0
72,911,0,TANZANIA,DAKAWA,Eastern and Southern Africa,-7.43,37.7,151,1,0,0,0,0,0,1,0,0,0
73,912,0,TANZANIA,ILONGA,Eastern and Southern Africa,-6.77,37.03,554,1,0,0,1,0,1,1,1,1,0
74,913,0,TANZANIA,INYALA,Eastern and Southern Africa,-8.867,33.633,1582,1,0,1,0,0,0,0,0,0,0
75,914,0,TANZANIA,KATRIN,Eastern and Southern Africa,-8.133,36.683,262,1,1,0,0,0,0,1,1,1,0
76,915,0,TANZANIA,KATRIN1,Eastern and Southern Africa,-8.13,36.68,262,1,0,0,1,0,0,0,0,0,0
77,916,0,TANZANIA,KATRIN2,Eastern and Southern Africa,-8.13,36.68,262,1,0,0,1,0,0,0,0,0,0
78,918,0,TANZANIA,LAMBO,Eastern and Southern Africa,-3.23,37.88,935,1,0,1,0,0,0,0,0,0,0
79,919,0,TANZANIA,MARUKU,Eastern and Southern Africa,-1.338,32.786,1133,1,0,0,0,0,0,1,0,0,0
80,920,0,TANZANIA,MBULUMBULU,Eastern and Southern Africa,-3.25,35.8,1645,1,0,0,1,0,1,1,0,0,0
81,921,0,TANZANIA,MLINGANO,Eastern and Southern Africa,-5.07,38.92,100,1,1,0,0,0,0,0,0,0,0
82,922,0,TANZANIA,MONDULI,Eastern and Southern Africa,-3.3,36.45,1504,1,0,1,0,0,0,0,0,0,0
83,928,0,TANZANIA,SELIAN,Eastern and Southern Africa,-3.22,36.37,1756,1,0,0,1,0,0,0,0,1,0
84,929,0,TANZANIA,TABORA,Eastern and Southern Africa,-5.02,32.8,1192,1,0,0,0,1,1,0,0,0,0
85,931,0,TANZANIA,TUMBI,Eastern and Southern Africa,-5.07,32.73,1162,1,0,0,0,1,1,1,1,1,0
86,933,0,TANZANIA,UKIRIGURU,Eastern and Southern Africa,-2.719,33.024,1220,1,0,0,0,0,0,1,0,1,0
87,935,0,TANZANIA,WERUWERU,Eastern and Southern Africa,-3.317,37.25,984,1,0,0,1,0,0,1,0,1,0
88,953,0,UGANDA,KAMAYANMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,1,0,1,0,0,0,0,0,0,0
89,954,0,UGANDA,KAMENYAMIGGO,Eastern and Southern Africa,-0.25,31.25,1322,1,0,0,1,0,0,0,0,0,0
90,960,0,UGANDA,NAARI,Eastern and Southern Africa,0.5333,34.1167,1161,1,0,1,1,0,0,0,0,0,0
91,961,0,UGANDA,NAMULONGE,Eastern and Southern Africa,0.53,32.58,1192,1,1,0,0,0,1,1,1,0,1
92,962,0,UGANDA,NAMULONGE UGA,Eastern and Southern Africa,0.53,32.58,1192,1,0,1,1,0,0,0,0,0,0
93,963,0,UGANDA,SERERE,Eastern and Southern Africa,1.517,33.45,1106,1,0,1,1,0,1,0,0,0,0
94,1020,0,ZAIRE,MVUAZI,Eastern and Southern Africa,-5.45,14.9,430,1,0,1,1,0,0,0,0,0,0
95,1022,0,ZAMBIA,GOLDEN VALLEY,Eastern and Southern Africa,-14.17,28.37,1173,1,0,1,1,1,1,1,1,1,1
96,1023,0,ZAMBIA,KASAMA,Eastern and Southern Africa,-10.1,31.1,1352,1,0,0,0,0,1,1,1,1,1
97,1024,0,ZAMBIA,KASAMA,,,,,1,,,,,,,,,
98,1029,0,ZAMBIA,MAGOYE,Eastern and Southern Africa,-15.526,27.45,978,1,0,1,1,0,0,0,0,0,0
99,1031,0,ZAMBIA,MASUMBA,Eastern and Southern Africa,-13.16,31.58,605,1,0,1,1,0,0,0,0,0,0
100,1032,0,ZAMBIA,MISAMFU,Eastern and Southern Africa,-10.2,31.1,1377,1,0,1,1,1,1,0,0,0,0
101,1034,0,ZAMBIA,MOUNT MAKULU,Eastern and Southern Africa,-15.5,28.3,1299,1,1,1,1,0,1,1,1,1,1
102,1036,0,ZAMBIA,MSEKERA,Eastern and Southern Africa,-13.38,32.39,770,1,0,1,1,1,1,1,1,1,1
103,1037,0,ZAMBIA,NANGA,Eastern and Southern Africa,-15.767,27.92,978,1,0,1,1,0,0,1,1,1,1
104,1040,0,ZAMBIA,ZAMSEED,Eastern and Southern Africa,-14.2,28.4,1178,1,0,1,1,0,0,0,0,0,0
105,1041,0,ZAMBIA,ZAMSEED,,,,,1,,,,,,,,,
