"","LocationID","Country","Location","Region","Latitude","Longitude","ElevM","bulk_density","carbon_organic","cation_exchange_capacity","clay_content","nitrogen_total","ph","sand_content","silt_content"
"202",2512,"Rwanda","Burera","Eastern and Southern Africa",-1.491,29.877,2096,1,23.5325301971094,8.97418245481472,36,147265.625240553,5.3,37,26
"203",2513,"Rwanda","Huye","Eastern and Southern Africa",-2.539,29.741,1630,1.26,19.0855369231877,7.16616991256765,35,24342.0094244084,5.4,42,22
"204",2514,"Rwanda","Musanze","Eastern and Southern Africa",-1.513,29.597,1930,1.07,21.1979512814416,15.444646771097,35,133251.352945531,6,33,31
"205",2515,"Rwanda","Ngoma","Eastern and Southern Africa",-2.227,30.417,1458,1.22,21.1979512814416,13.8797317248728,38,109096.799276508,5.8,47,17
"206",2516,"Rwanda","Nyagatare","Eastern and Southern Africa",-1.516,30.284,1500,1.27,19.0855369231877,11.1824939607035,36,14763.7815655773,5.9,45,17
"207",2517,"Tanzania","Daredo","Eastern and Southern Africa",-3.766,35.524,1635,1.27,13.8797317248728,15.444646771097,33,2439.6019776245,6.2,46,17
"208",2518,"Tanzania","Ilonga","Eastern and Southern Africa",-6.783,37.037,490,1.34,13.8797317248728,12.4637380350017,29,1479.29992758455,6.3,52,15
"209",2519,"Tanzania","Kwedizinga","Eastern and Southern Africa",-5.418,38.516,350,1.31,10.0231763806416,15.444646771097,31,1634.98442999593,6,51,18
"210",2520,"Tanzania","Mavamizi","Eastern and Southern Africa",-5.138,38.852,190,1.27,10.0231763806416,17.1741453694431,35,1095.63315842846,5.8,43,19
"211",2521,"Tanzania","Mlingano","Eastern and Southern Africa",-5.138,38.852,80,1.27,10.0231763806416,17.1741453694431,35,1095.63315842846,5.8,43,19
"212",2522,"Tanzania","Muheza","Eastern and Southern Africa",-5.138,38.852,190,1.27,10.0231763806416,17.1741453694431,35,1095.63315842846,5.8,43,19
"213",2523,"Tanzania","Selian","Eastern and Southern Africa",-3.36,36.632,1410,1.18,13.8797317248728,19.0855369231877,35,5430.65959136298,6.6,34,24
"214",2524,"Tanzania","Uyole","Eastern and Southern Africa",-8.918,33.517,1783,1.19,13.8797317248728,13.8797317248728,27,4913.76884029913,5.9,58,22
"215",2525,"Zambia","Choma Mochipapa","Eastern and Southern Africa",-16.829,27.063,1290,1.53,6.38905609893065,6.38905609893065,16,108.947172452124,5.7,72,12
"216",2526,"Zambia","Kasama","Eastern and Southern Africa",-10.171,31.226,1230,1.41,7.16616991256765,6.38905609893065,17,163.021907299902,5.8,69,13
"217",2527,"Zambia","Masekera","Eastern and Southern Africa",-13.64,32.555,1224,1.4,8.97418245481472,11.1824939607035,19,364.037467865329,5.7,62,13
"218",2528,"Zambia","Mt. Makulu","Eastern and Southern Africa",-15.548,28.251,1220,1.46,7.16616991256765,7.16616991256765,24,402.428793492735,6.5,59,15
