"","LocationID","Country","Location","Region","Latitude","Longitude","ElevM","bulk_density","carbon_organic","cation_exchange_capacity","clay_content","nitrogen_total","ph","sand_content","silt_content"
"42",524,"MALAWI","BAKA","Eastern and Southern Africa",-9.71,33.935,477,1.31,8.97418245481472,10.0231763806416,28,1210.96707449258,5.7,55,16
"44",526,"MALAWI","BEMBEKE","Eastern and Southern Africa",-14.17,34.43,1054,1.15,12.4637380350017,13.8797317248728,25,4446.06674769986,5.8,54,13
"45",527,"MALAWI","BOLERO","Eastern and Southern Africa",-10.983,33.75,1099,1.41,6.38905609893065,10.0231763806416,19,180.272241875151,5.9,62,13
"46",528,"MALAWI","BVUMBWE","Eastern and Southern Africa",-15.92,35.07,1172,1.27,11.1824939607035,12.4637380350017,34,1210.96707449258,5.3,49,12
"47",529,"MALAWI","BWANJE","Eastern and Southern Africa",-14.08,34.93,474,NA,NA,NA,NA,NA,NA,NA,NA
"48",530,"MALAWI","CHITALA","Eastern and Southern Africa",-13.13,34.07,769,1.33,8.97418245481472,12.4637380350017,25,1807.04241445606,5.7,60,11
"49",531,"MALAWI","CHITEDZE","Eastern and Southern Africa",-13.98,33.63,1140,1.37,11.1824939607035,10.0231763806416,22,991.274715605026,5.9,60,12
"50",532,"MALAWI","LUNYANGWA","Eastern and Southern Africa",-11.45,33.917,1290,1.33,8.97418245481472,12.4637380350017,28,269.426407426153,5.8,57,14
"51",533,"MALAWI","MAKOKA","Eastern and Southern Africa",-14.7,35.6,856,1.42,7.16616991256765,8.97418245481472,16,269.426407426153,5.8,65,15
"52",534,"MALAWI","MBAWA","Eastern and Southern Africa",-12.1,33.5,1357,1.43,5.68589444227927,10.0231763806416,23,59.340287597362,5.8,68,11
"54",536,"MALAWI","NGABU","Eastern and Southern Africa",-16.47,34.92,91,1.38,8.02501349943412,23.5325301971094,30,1479.29992758455,7.2,47,18
"56",538,"MALAWI","SALIMA","Eastern and Southern Africa",-13.75,34.58,503,1.39,6.38905609893065,10.0231763806416,18,199.336809974792,6.5,66,13
"57",539,"MALAWI","TSANGANO","Eastern and Southern Africa",-15.18,34.62,1539,1.13,13.8797317248728,11.1824939607035,29,4446.06674769986,5.5,54,12
"58",540,"MALAWI","ZOMBA","Eastern and Southern Africa",-15.38,35.33,937,1.27,8.02501349943412,12.4637380350017,33,2696.28232826851,5.8,51,14
"59",724,"MOZAMBIQUE","ANGONIA TETE","Eastern and Southern Africa",-16.16,33.59,145,1.44,5.68589444227927,10.0231763806416,26,364.037467865329,6.8,58,15
"60",726,"MOZAMBIQUE","CHOKWE","Eastern and Southern Africa",-24.53,33,32,1.41,5.68589444227927,8.97418245481472,24,402.428793492735,7.2,55,19
