FID,Shape,LocationID,Country,Location,Region,Latitude,Longitude,ElevM,File1,File2,File3,File4,BLD,CEC,CLYPPT,CRFVOL,DRAINFAO,EACKCL,NTO,ORCDRC,PHIHOX,SLTPPT,SNDPPT
0,"(-1.366667, 7.383333)",2101,GHANA,EJURA,Western Africa,7.383333,-1.366667,232,lat7.375_long-1.375.txt,,,,1443,6,14,15,5,0.523999989,0.77974999,9,60,15,71
1,"(-1.583333, 6.75)",2102,GHANA,FUMESUA,Western Africa,6.75,-1.583333,270,lat6.625_long-1.625.txt,lat6.875_long-1.625.txt,,,1470,8,23,15,5,1.399999976,0.984000027,21,56,21,57
2,"(7.7, 11.066667)",2201,NIGERIA,ZARIA,Western Africa,11.066667,7.7,648,lat11.125_long7.625.txt,,,,1423,8,23,15,3,0.221249998,1.082499981,8,61,24,53
3,"(7.616667, 11.183333)",2202,NIGERIA,SAMARU,Western Africa,11.183333,7.616667,730,lat11.125_long7.625.txt,,,,1323,12,17,12,5,0,0.553749979,8,54,39,44
4,"(32.833333, 14.4)",2301,SUDAN,WAD MEDANI,Eastern and Southern Africa,14.4,32.833333,402,lat14.375_long32.875.txt,,,,1628,42,54,2,4,0.00685,0.859250009,9,82,26,21
