cell_1585,cell_1347,cell_2919,cedll_5362,cell_8475,cell_9527,cell_10040,cell_12982,cell_13584,cell_15860
1.97622,1.499689,6.911726,2.141625,4.100409,3.968384,-1.599875,0.3346782,2.583977,5.906829
2.020035,1.534939,6.911726,2.141625,4.100409,4.001031,-1.480358,0.3538666,2.583977,5.910385
2.028734,1.585983,6.917347,2.150018,4.115966,4.036127,-1.480358,0.3900158,2.59556,5.943169
2.028734,1.585983,6.957487,2.152862,4.118167,4.036127,-1.472443,0.4472661,2.614108,5.944321
2.071396,1.589542,6.975677,2.175636,4.118167,4.036127,-1.472443,0.4472661,2.626301,6.05182
2.075414,1.611134,7.046703,2.197657,4.120914,4.036127,-1.411112,0.4630032,2.626301,6.058585
2.082477,1.619478,7.095734,2.257076,4.147407,4.040984,-1.386867,0.4846325,2.626301,6.058585
2.106576,1.629793,7.153181,2.264943,4.164874,4.040984,-1.363773,0.5264039,2.626301,6.058585
2.132046,1.633186,7.253868,2.282744,4.164874,4.075031,-1.363773,0.5872293,2.629267,6.058585
2.132046,1.680544,7.253868,2.282744,4.164874,4.132746,-1.363773,0.5872293,2.648018,6.187125
2.184058,1.681496,7.253868,2.295753,4.205359,4.181845,-1.361045,0.6486497,2.648018,6.258957
2.191465,1.733528,7.286459,2.300658,4.205359,4.216229,-1.337645,0.6829641,2.648018,6.288866
2.225526,1.767744,7.286459,2.304562,4.248894,4.241853,-1.336283,0.6905575,2.673269,6.288866
2.225526,1.767744,7.302923,2.304562,4.262038,4.262055,-1.336283,0.7614188,2.673269,6.363604
2.238561,1.845299,7.356258,2.304562,4.262597,4.262055,-1.336283,0.820766,2.673269,6.382711
2.238561,1.953762,7.367891,2.304562,4.276122,4.262055,-1.335163,0.820766,2.684466,6.422338
2.295274,1.969162,7.367891,2.306766,4.279469,4.282122,-1.327357,0.8901677,2.726074,6.445811
2.295274,1.969162,7.376757,2.306766,4.279469,4.282122,-1.28365,1.016893,2.726074,6.452878
2.295274,1.969162,7.462097,2.337833,4.341018,4.28372,-1.259151,1.016893,2.731564,6.462018
2.30903,2.003054,7.462097,2.477984,4.370342,4.28372,-1.230079,1.133675,2.731564,6.512314
2.360406,2.003054,7.475349,2.477984,4.370342,4.305775,-1.201728,1.133675,2.731564,6.582385
2.360406,2.003054,7.49094,2.477984,4.38517,4.305775,-1.201728,1.133675,2.749104,6.642279
2.360406,2.016875,7.545225,2.505966,4.391227,4.320437,-1.161898,1.168633,2.749104,6.644174
2.360406,2.016875,7.545225,2.511296,4.391227,4.320437,-1.161898,1.168633,2.849823,6.644174
2.418652,2.087793,7.579788,2.690881,4.453873,4.341445,-1.161898,1.26417,2.849823,6.763427
2.464192,2.115219,7.579788,2.699372,4.463214,4.36518,-1.161898,1.290591,2.876904,6.766449
2.464192,2.115219,7.586071,2.699372,4.463214,4.379923,-1.104805,1.461066,2.955251,6.788316
2.472259,2.13357,7.658936,2.699372,4.463214,4.394188,-1.103472,1.480133,2.974857,6.847032
2.566913,2.13357,7.659502,2.699372,4.463214,4.394188,-1.103472,1.50731,2.974857,6.89628
2.591906,2.195917,7.659502,2.78495,4.469764,4.414296,-1.084163,1.50731,2.996763,6.89628
2.672975,2.195917,7.659502,2.78495,4.526895,4.414296,-1.010079,1.50731,3.001623,6.93001
2.800375,2.195917,7.77644,2.825364,4.595029,4.414296,-1.010079,1.521162,3.017011,7.01674
3.056874,2.44886,7.796879,2.879272,4.761671,4.425467,-0.941968,1.60585,3.058744,7.01674
3.056874,2.44886,7.796879,2.879272,4.996902,4.477931,-0.941968,1.60585,3.076499,7.30976
3.056874,2.44886,7.796879,2.926379,4.996902,4.493816,-0.9336138,1.60585,3.082753,7.356391
3.19476,2.769836,7.871559,2.926379,5.144246,4.501143,-0.7381334,1.698278,3.255752,7.356391
3.19476,2.769836,7.871559,2.926379,5.289391,4.501143,-0.7381334,1.838986,3.255752,7.376048
3.198462,2.815717,7.88611,3.000681,5.314409,4.685458,-0.7381334,2.227777,3.349049,7.466912
3.198462,2.822592,7.939217,3.201519,5.325444,4.685458,-0.4465284,2.248919,3.357748,7.514246
3.421282,2.852583,8.231819,3.231107,5.338235,4.737217,-0.4465284,2.490732,3.357748,7.514246
4.119747,3.21776,8.487278,3.231107,5.338235,5.0319,-0.4465284,2.490732,3.534559,7.666224
4.119747,3.232257,8.775881,3.690752,5.401913,5.415446,-0.4354749,2.841849,3.534559,8.159268
