cellid,y_pred_sim_dif_probT_cfrobust,irr_sim_probT_cfrobust,cr_sim_probT_cfrobust,crnrt_sim_probT_cfrobust,irr_sim_gtP_cfrobust,irrnrt_sim_gtP_cfrobust,y_pred_sim_dif_probT_naive,irr_sim_probT_naive,cr_sim_probT_naive,crnrt_sim_probT_naive,irr_sim_gtP_naive,irrnrt_sim_gtP_naive,lat,lon,class_nono_probT,classnrt_nono_probT,class_yesyes_probT,classnrt_yesyes_probT,class_type1_probT,classnrt_type1_probT,class_type2_probT,classnrt_type2_probT
"13402",".814596355","-.3633245528","4.475804329","nan",".1389999986","nan","2.802713633","1.196805716","10.00969124","15.39952564","1","1","-16.625","27.875","0","0","0","0","0","0","1","1"
"13403",".7619895935","-.4090736508","4.186755657","nan",".0659999996","nan","2.802713633","1.150370836","10.00969124","15.39952564","1","1","-16.625","28.125","0","0","0","0","0","0","1","1"
"13404",".6682284474","-.5007960796","3.671584845","nan",".1309999973","nan","2.802713633","1.103171825","10.00969124","15.39952564","1","1","-16.625","28.375","0","0","0","0","0","0","1","1"
"13405",".9190912247","-.2327059358","5.049951553","nan",".172999993","nan","-.0769691467","-1.06430161","-.274889797","-.4229074121","0","0","-16.625","28.625","1","1","0","0","0","0","0","0"
"13406",".8757300377","-.2868493795","4.811703682","nan",".1529999971","nan","-.0769691467","-1.062733531","-.274889797","-.4229074121","0","0","-16.625","28.875","1","1","0","0","0","0","0","0"
"13407","1.171998978","-.0643878728","6.439554691","nan",".3709999919","nan","-.0769691467","-1.061152697","-.274889797","-.4229074121","0","0","-16.625","29.125","1","1","0","0","0","0","0","0"
"13408","1.118552327","-.1368535161","6.145892143","nan",".3459999859","nan","-.0769691467","-1.059566617","-.274889797","-.4229074121","0","0","-16.625","29.375","1","1","0","0","0","0","0","0"
"13409","1.470738649",".1029070318","8.080982208","nan",".5469999909","nan","5.23205328","2.941462517","18.68590546","28.74754524","1","1","-16.625","29.625","0","0","0","0","0","0","1","1"
"1341",".9751931429",".1350695789","5.358203888","nan",".6060000062","nan","2.401392221","1.800368786","8.576400757","13.19446278","1","1","12.625","38.375","0","0","0","0","0","0","1","1"
"13410","1.292622089","-.0505919233","7.102318764","nan",".3889999986","nan","-.0769691467","-1.056410193","-.274889797","-.4229074121","0","0","-16.625","29.875","1","1","0","0","0","0","0","0"
"13411","1.134079337","-.1889410317","6.231204987","nan",".2579999864","nan","-.0769691467","-1.054855585","-.274889797","-.4229074121","0","0","-16.625","30.125","1","1","0","0","0","0","0","0"
"13412","1.067800283","-.2626673579","5.867034912","nan",".173999995","nan","-.0769691467","-1.053327084","-.274889797","-.4229074121","0","0","-16.625","30.375","1","1","0","0","0","0","0","0"
"13413","1.219466805","-.1765356213","6.700366974","nan",".2930000126","nan","-.0769691467","-1.05183208","-.274889797","-.4229074121","0","0","-16.625","30.625","1","1","0","0","0","0","0","0"
"13414",".9118618965","-.4059171081","5.010230064","nan",".0540000014","nan","5.23205328","2.424477577","18.68590546","28.74754524","1","1","-16.625","30.875","0","0","0","0","0","0","1","1"
"13415","1.155660391","-.2658967078","6.34978199","nan",".1920000017","nan","-.0769691467","-1.048971176","-.274889797","-.4229074121","0","0","-16.625","31.125","1","1","0","0","0","0","0","0"
"13416",".9783730507","-.3951342106","5.375676155","nan",".0939999968","nan","-.0769691467","-1.047619104","-.274889797","-.4229074121","0","0","-16.625","31.375","1","1","0","0","0","0","0","0"
"13417",".8073856831","-.5155854225","4.436184883","nan",".0410000011","nan","-.0769691467","-1.046327949","-.274889797","-.4229074121","0","0","-16.625","31.625","1","1","0","0","0","0","0","0"
"13418",".826608181","-.5136494637","4.54180336","nan",".0120000001","nan","-.0769691467","-1.04510355","-.274889797","-.4229074121","0","0","-16.625","31.875","1","1","0","0","0","0","0","0"
"13419",".8317241669","-.5289412737","4.56991291","nan",".0040000002","nan","-.0769691467","-1.043951631","-.274889797","-.4229074121","0","0","-16.625","32.125","1","1","0","0","0","0","0","0"
"1342",".9164880514",".0957186818","5.035648346","nan",".5360000134","nan","2.401392221","1.869590282","8.576400757","13.19446278","1","1","12.625","38.625","0","0","0","0","0","0","1","1"
"13420",".8052620888","-.5528741479","4.424517155","nan",".001","nan","-.0769691467","-1.042877197","-.274889797","-.4229074121","0","0","-16.625","32.375","1","1","0","0","0","0","0","0"
"13421","1.040109277","-.4314103723","5.714886189","nan",".0120000001","nan","-.0769691467","-1.041884661","-.274889797","-.4229074121","0","0","-16.625","32.625","1","1","0","0","0","0","0","0"
"13422","1.144687653","-.3938055634","6.289492607","nan",".0329999998","nan","-.0882382393","-1.046977639","-.3151365817","-.4848254919","0","0","-16.625","32.875","1","1","0","0","0","0","0","0"
"13423",".6790627241","-.6472500563","3.731113911","nan",".001","nan","-.0882382393","-1.046040535","-.3151365817","-.4848254919","0","0","-16.625","33.125","1","1","0","0","0","0","0","0"
"13424",".7114521861","-.6346865892","3.909078121","nan",".0020000001","nan","-.0882382393","-1.045208573","-.3151365817","-.4848254919","0","0","-16.625","33.375","1","1","0","0","0","0","0","0"
"13425",".8777477741","-.5610767007","4.822790146","nan",".0070000002","nan","-.0882382393","-1.044484258","-.3151365817","-.4848254919","0","0","-16.625","33.625","1","1","0","0","0","0","0","0"
"13426",".7651876211","-.6215507388","4.204327583","nan","0","nan","-.0882382393","-1.043869853","-.3151365817","-.4848254919","0","0","-16.625","33.875","1","1","0","0","0","0","0","0"
"13427",".7631075382","-.6272419691","4.19289875","nan",".0040000002","nan","-.0882382393","-1.043367147","-.3151365817","-.4848254919","0","0","-16.625","34.125","1","1","0","0","0","0","0","0"
"13428",".675325036","-.6717865467","3.710577011","nan",".003","nan","-.0882382393","-1.042979121","-.3151365817","-.4848254919","0","0","-16.625","34.375","1","1","0","0","0","0","0","0"
"13429",".7899969816","-.615713954","4.340642929","nan",".001","nan","-.0882382393","-1.042711377","-.3151365817","-.4848254919","0","0","-16.625","34.625","1","1","0","0","0","0","0","0"
"1343",".8039209843","-.0159631744","4.417148113","nan",".5019999743","nan","2.401392221","1.938588023","8.576400757","13.19446278","1","1","12.625","38.875","0","0","0","0","0","0","1","1"
"13430",".8333324194","-.6000161171","4.578749657","nan",".0040000002","nan","2.84369278",".3722559214","10.15604591","15.62468529","0","1","-16.625","34.875","1","0","0","0","0","0","0","1"
"13431",".7603987455","-.6322375536","4.178014755","nan",".0020000001","nan","2.84369278",".3745585978","10.15604591","15.62468529","0","1","-16.625","35.125","1","0","0","0","0","0","0","1"
"13432",".7776623964","-.6188910007","4.272870064","nan",".0040000002","nan",".6048884392","-.7038669586","2.160315752","3.32356286","0","0","-16.625","35.375","1","1","0","0","0","0","0","0"
"13433","1.0792799","-.4374835491","5.930109024","nan",".0040000002","nan",".6048884392","-.6849255562","2.160315752","3.32356286","0","0","-16.625","35.875","1","1","0","0","0","0","0","0"
"13434","1.106532097","-.4040235281","6.079846382","nan",".0089999996","nan",".6048884392","-.6733019948","2.160315752","3.32356286","0","0","-16.625","36.125","1","1","0","0","0","0","0","0"
"13435","1.188137054","-.3378032446","6.528225899","nan",".0170000009","nan",".6048884392","-.6609159708","2.160315752","3.32356286","0","0","-16.625","36.375","1","1","0","0","0","0","0","0"
"13436",".9971245527","-.4163194299","5.47870636","nan",".0270000007","nan",".6048884392","-.6478614211","2.160315752","3.32356286","0","0","-16.625","36.625","1","1","0","0","0","0","0","0"
"13437",".9381756783","-.4319776297","5.154811382","nan",".0170000009","nan",".6048884392","-.6341874599","2.160315752","3.32356286","0","0","-16.625","36.875","1","1","0","0","0","0","0","0"
"13438",".6976148486","-.5472153425","3.83304882","nan",".0549999997","nan",".6048884392","-.6072423458","2.160315752","3.32356286","0","0","-16.625","37.125","1","1","0","0","0","0","0","0"
"13439",".8377300501","-.4367293715","4.602912426","nan",".0839999989","nan",".6048884392","-.5921766758","2.160315752","3.32356286","0","0","-16.625","37.375","1","1","0","0","0","0","0","0"
"1344",".9595586061",".2028239071","5.272299767","nan",".6480000019","nan","2.401392221","2.005758047","8.576400757","13.19446278","1","1","12.625","39.125","0","0","0","0","0","0","1","1"
"13440",".8596436977","-.4109505415","4.723317146","nan",".0670000017","nan",".6048884392","-.5851429105","2.160315752","3.32356286","0","0","-16.625","37.625","1","1","0","0","0","0","0","0"
