cellid,y_pred_sim_dif_probT_naive,vcr_sim_probT_naive,cr_sim_probT_naive,vcr_sim_gtP_naive,y_pred_sim_dif_probT_robust,vcr_sim_probT_robust,cr_sim_probT_robust,vcr_sim_gtP_robust,lat,lon,class_nono_probT,class_yesyes_probT,class_type1_probT,class_type2_probT
"502","1.500258923","8.627505302","11.54045296","1",".1435565948",".8248051405","1.104281425",".621999979","14.375","21.625","0","0","0","1"
"5020",".7955236435","6.19952774","6.119412422","1","1.108194947","8.650050163","8.524576187",".9866666794","6.875","12.125","0","1","0","0"
"5021",".7955236435","6.26446867","6.119412422","1","1.181439996","9.319703102","9.087999344",".9923333526","6.875","12.375","0","1","0","0"
"5022",".7955236435","6.328691006","6.119412422","1","1.145310402","9.105190277","8.810079575",".9940000176","6.875","12.625","0","1","0","0"
"5023",".7955236435","6.392146111","6.119412422","1","1.193038702","9.574710846","9.177221298",".996999979","6.875","12.875","0","1","0","0"
"5024",".7955236435","6.454773426","6.119412422","1","1.105401039","8.974428177","8.503084183",".9943333268","6.875","13.125","0","1","0","0"
"5025",".7955236435","6.516503334","6.119412422","1","1.128947973","9.248375893","8.684215546",".9933333397","6.875","13.375","0","1","0","0"
"5026",".7955236435","6.577257633","6.119412422","1","1.136229753","9.385356903","8.740228653",".9933333397","6.875","13.625","0","1","0","0"
"5027",".7955236435","6.636946678","6.119412422","1","1.161396027","9.674312592","8.933815956",".9946666956","6.875","13.875","0","1","0","0"
"5028",".7955236435","6.695469379","6.119412422","1","1.164688706","9.806650162","8.959143639",".9893333316","6.875","14.125","0","1","0","0"
"5029",".7955236435","6.752711296","6.119412422","1","1.096954465","9.306692123","8.438111305",".9936666489","6.875","14.375","0","1","0","0"
"503","1.500258923","8.544384956","11.54045296","1",".176792264","1.007126451","1.359940529",".65200001","14.375","21.875","0","0","0","1"
"5030",".7955236435","6.808549404","6.119412422","1","1.073196173","9.190940857","8.255355835",".9923333526","6.875","14.625","0","1","0","0"
"5031","-.0054683685","-.0383224487","-.0420643725","0","1.025722504","7.192002296","7.890172958",".9913333058","6.875","14.875","0","0","1","0"
"5032",".7955236435","5.581678391","6.119412422","1",".9077962637","6.359607697","6.983048439",".975333333","6.875","15.125","0","1","0","0"
"5033",".7955236435","5.770396233","6.119412422","1","1.042076945","7.555866718","8.015975952",".9956666827","6.875","15.375","0","1","0","0"
"5034",".7955236435","5.778853893","6.119412422","1",".9211207628","6.691849709","7.085544586",".975333333","6.875","15.625","0","1","0","0"
"5035",".7955236435","5.851499081","6.119412422","1",".9111251831","6.715941429","7.008655548",".977666676","6.875","15.875","0","1","0","0"
"5036",".7955236435","5.859508991","6.119412422","1",".8155337572","6.014202595","6.273336411",".9679999948","6.875","16.125","0","1","0","0"
"5037",".7955236435","5.89556694","6.119412422","1",".7681298256","5.685419083","5.908690929",".970666647","6.875","16.375","0","1","0","0"
"5038",".7955236435","5.899506092","6.119412422","1",".4091095924","3.02641964","3.146996975",".8746666908","6.875","16.625","0","1","0","0"
"5039",".7955236435","5.980396271","6.119412422","1",".609406352","4.582632065","4.68774128",".9380000234","6.875","17.125","0","1","0","0"
"504","1.500258923","4.116384029","11.54045296","1",".4203906059","1.15262723","3.233773708",".6236666441","14.375","36.625","0","0","0","1"
"5040",".7955236435","5.984472275","6.119412422","1",".6302924156","4.744072437","4.848402977",".9323333502","6.875","17.375","0","1","0","0"
"5041",".7955236435","6.000220299","6.119412422","1",".613722086","4.628920555","4.720939159",".9279999733","6.875","17.625","0","1","0","0"
"5042",".7955236435","5.923505306","6.119412422","1",".4891912937","3.641794205","3.763010025",".9319999814","6.875","17.875","0","1","0","0"
"5043",".7955236435","5.900785446","6.119412422","1",".7118196487","5.27719593","5.47553587",".9573333263","6.875","18.375","0","1","0","0"
"5044",".7955236435","5.736025333","6.119412422","1",".3918402195","2.825059652","3.014155388",".8363333344","6.875","19.125","0","1","0","0"
"5045",".7955236435","5.746153355","6.119412422","1",".4365159273","3.155349493","3.357814789",".8906666636","6.875","19.375","0","1","0","0"
"505","1.500258923","4.287721634","11.54045296","1",".650485158","1.856862903","5.003731728",".8370000124","14.375","37.125","0","1","0","0"
"5050",".7955236435","1.690340519","6.119412422","1",".5862703323","1.247699499","4.509771824",".6700000167","6.875","29.875","0","0","0","1"
"5051",".7955236435","1.665035605","6.119412422","1",".7282004356","1.522674561","5.601541519",".7916666865","6.875","30.125","0","1","0","0"
"5052",".7955236435","1.640500903","6.119412422","1",".8248670101","1.702136278","6.34513092",".824000001","6.875","30.375","0","1","0","0"
"5053",".7955236435","1.616855979","6.119412422","1",".6595233679","1.339806318","5.073256493",".7189999819","6.875","30.625","0","1","0","0"
"5054",".7955236435","1.589867353","6.119412422","1",".6886706352","1.376521468","5.297466278",".7263333201","6.875","30.875","0","1","0","0"
