cellid,MostSensitive
1435,soilph
1436,up
1437,claypct
1438,up
1439,up
1440,up
1441,bulkdens
1442,bulkdens
1443,up
1444,bulkdens
1445,soilph
1446,soilph
1447,up
1448,bulkdens
1449,bulkdens
1450,bulkdens
1451,bulkdens
1452,bulkdens
1453,bulkdens
1454,bulkdens
1455,bulkdens
1456,bulkdens
1457,soilph
1458,soilph
1459,soilph
1460,soilph
1461,up
1462,up
1463,claypct
1464,up
1465,up
1466,up
1467,up
1468,up
1469,up
1470,up
1471,claypct
1524,soilph
1525,soilph
1526,soilph
1527,soilph
1528,soilph
1529,up
1530,soilph
1531,soilph
1532,soilph
1533,soilph
1534,soilph
1535,soilph
1536,soilph
1537,soilph
1538,soilph
1539,soilph
1540,soilph
1541,soilph
1542,soilph
1543,soilph
1544,soilph
1545,soilph
1546,soilph
1547,soilph
1548,soilph
1549,soilph
1550,soilph
1551,soilph
1552,soilph
1553,up
1554,soilph
1555,soilph
1556,soilph
1557,soilph
1558,soilph
1559,soilph
1560,soilph
1561,soilph
1562,soilph
1563,soilph
1564,up
1565,claypct
1566,up
1567,bulkdens
1568,soilph
1569,bulkdens
1570,soilph
1571,bulkdens
1572,soilph
1573,soilph
1574,acidity
1575,acidity
1576,soilph
1577,up
1578,soilph
1579,soilph
1580,soilph
1581,soilph
1582,soilph
1583,bulkdens
1584,bulkdens
1585,bulkdens
1586,up
1587,up
1588,soilph
1589,soilph
1590,soilph
1591,soilph
1592,up
1593,up
1594,up
1595,up
1596,up
1597,up
1598,up
1599,claypct
1649,soilph
1650,soilph
1651,soilph
1652,soilph
1653,soilph
1654,soilph
1655,soilph
1656,soilph
1657,soilph
1658,soilph
1659,soilph
1660,soilph
1661,soilph
1662,soilph
1663,up
1664,soilph
1665,soilph
1666,soilph
1667,soilph
1668,soilph
1669,soilph
1670,soilph
1671,soilph
1672,soilph
1673,soilph
1674,soilph
1675,soilph
1676,soilph
1677,soilph
1678,soilph
1679,soilph
1680,soilph
1681,soilph
1682,soilph
1683,soilph
1684,soilph
1685,soilph
1686,soilph
1687,soilph
1688,soilph
1689,soilph
1690,soilph
1691,soilph
1692,soilph
1693,soilph
1694,soilph
1695,soilph
1696,soilph
1697,soilph
1698,soilph
1699,soilph
1700,soilph
1701,bulkdens
1702,bulkdens
1703,claypct
1704,up
1705,up
1706,claypct
1707,bulkdens
1708,bulkdens
1709,soilph
1710,soilph
1711,up
1712,soilph
1713,soilph
1714,soilph
1715,soilph
1716,soilph
1717,soilph
1718,bulkdens
1719,soilph
1720,soilph
1721,soilph
1722,soilph
1723,soilph
1724,soilph
1725,soilph
1726,soilph
1727,soilph
1728,soilph
1729,soilph
1730,soilph
1731,soilph
1732,soilph
1733,bulkdens
1734,soilph
1735,soilph
1736,soilph
1737,bulkdens
1738,up
1739,up
1740,claypct
1741,claypct
1742,up
1743,claypct
1744,soilph
1745,soilph
1746,up
1747,up
1748,soilph
1749,soilph
1750,claypct
1751,up
1752,up
1753,up
1754,up
1806,soilph
1807,soilph
1808,soilph
1809,soilph
1810,soilph
1811,soilph
1812,soilph
1813,soilph
1814,soilph
1815,up
1816,soilph
1817,soilph
1818,soilph
1819,soilph
1820,soilph
1821,soilph
1822,soilph
1823,soilph
1824,soilph
1825,soilph
1826,soilph
1827,soilph
1828,soilph
1829,soilph
1830,soilph
1831,soilph
1832,soilph
1833,soilph
1834,soilph
1835,soilph
1836,soilph
1837,soilph
1838,soilph
1839,soilph
1840,soilph
1841,soilph
1842,soilph
1843,soilph
1844,soilph
1845,soilph
1846,soilph
1847,soilph
1848,soilph
1849,soilph
1850,soilph
1851,soilph
1852,bulkdens
1853,soilph
1854,soilph
1855,soilph
1856,soilph
1857,soilph
1858,soilph
1859,soilph
1860,bulkdens
1861,bulkdens
1862,claypct
1863,claypct
1864,claypct
1865,soilph
1866,soilph
1867,soilph
1868,soilph
1869,soilph
1870,soilph
1871,soilph
1872,soilph
1873,soilph
1874,soilph
1875,up
1876,soilph
1877,soilph
1878,soilph
1879,soilph
1880,soilph
1881,soilph
1882,soilph
1883,soilph
1884,soilph
1885,soilph
1886,soilph
1887,soilph
1888,soilph
1889,soilph
1890,bulkdens
1891,bulkdens
1892,soilph
1893,soilph
1894,bulkdens
1895,bulkdens
1896,up
1897,claypct
1898,up
1899,soilph
1900,soilph
1901,claypct
1902,soilph
1903,soilph
1904,soilph
1905,soilph
1906,soilph
1907,soilph
1908,soilph
1909,soilph
1910,claypct
1911,up
1912,temp_p2
1913,claypct
1914,up
1915,claypct
1964,soilph
1965,soilph
1966,soilph
1967,soilph
1968,soilph
1969,soilph
1970,soilph
1971,soilph
1972,soilph
1973,soilph
1974,soilph
1975,soilph
1976,soilph
1977,soilph
1978,soilph
1979,soilph
1980,soilph
1981,soilph
1982,soilph
1983,soilph
1984,soilph
1985,soilph
1986,soilph
1987,soilph
1988,soilph
1989,soilph
1990,soilph
1991,soilph
1992,up
1993,up
1994,soilph
1995,soilph
1996,soilph
1997,soilph
1998,soilph
1999,soilph
2000,soilph
2001,soilph
2002,soilph
2003,soilph
2004,soilph
2005,soilph
2006,soilph
2007,bulkdens
2008,soilph
2009,soilph
2010,soilph
2011,soilph
2012,soilph
2013,soilph
2014,soilph
2015,soilph
2016,soilph
2017,soilph
2018,soilph
2019,soilph
2020,bulkdens
2021,bulkdens
2022,bulkdens
2023,bulkdens
2024,bulkdens
2025,claypct
2026,claypct
2027,soilph
2028,soilph
2029,soilph
2030,soilph
2031,soilph
2032,soilph
2033,soilph
2034,soilph
2035,soilph
2036,soilph
2037,soilph
2038,bulkdens
2039,soilph
2040,soilph
2041,soilph
2042,soilph
2043,soilph
2044,soilph
2045,soilph
2046,bulkdens
2047,bulkdens
2048,bulkdens
2049,soilph
2050,soilph
2051,claypct
2052,soilph
2053,soilph
2054,soilph
2055,bulkdens
2056,bulkdens
2057,bulkdens
2058,soilph
2059,up
2060,up
2061,claypct
2062,claypct
2063,soilph
2064,soilph
2065,soilph
2066,claypct
2067,soilph
2068,up
2069,soilph
2070,soilph
2071,soilph
2072,claypct
2073,up
2074,up
2075,claypct
2076,bulkdens
2077,claypct
2078,claypct
2079,up
2080,temp_p1
2133,soilph
2134,soilph
2135,soilph
2136,up
2137,soilph
2138,soilph
2139,soilph
2140,soilph
2141,soilph
2142,soilph
2143,soilph
2144,soilph
2145,soilph
2146,soilph
2147,soilph
2148,soilph
2149,soilph
2150,soilph
2151,soilph
2152,soilph
2153,soilph
2154,soilph
2155,soilph
2156,soilph
2157,soilph
2158,soilph
2159,soilph
2160,soilph
2161,soilph
2162,soilph
2163,soilph
2164,up
2165,up
2166,soilph
2167,soilph
2168,soilph
2169,soilph
2170,soilph
2171,soilph
2172,soilph
2173,soilph
2174,soilph
2175,soilph
2176,soilph
2177,soilph
2178,soilph
2179,soilph
2180,soilph
2181,soilph
2182,soilph
2183,soilph
2184,soilph
2185,soilph
2186,soilph
2187,soilph
2188,soilph
2189,soilph
2190,soilph
2191,soilph
2192,bulkdens
2193,bulkdens
2194,bulkdens
2195,soilph
2196,soilph
2197,soilph
2198,soilph
2199,soilph
2200,bulkdens
2201,soilph
2202,soilph
2203,soilph
2204,soilph
2205,soilph
2206,soilph
2207,soilph
2208,soilph
2209,soilph
2210,soilph
2211,soilph
2212,soilph
2213,soilph
2214,soilph
2215,soilph
2216,soilph
2217,soilph
2218,soilph
2219,bulkdens
2220,bulkdens
2221,claypct
2222,claypct
2223,soilcec
2224,soilph
2225,soilph
2226,soilph
2227,soilph
2228,soilph
2229,soilph
2230,bulkdens
2231,up
2232,claypct
2233,claypct
2234,up
2235,soilph
2236,soilph
2237,soilcec
2238,up
2239,up
2240,soilph
2241,soilph
2242,claypct
2243,up
2244,claypct
2245,temp_p2
2246,up
2247,claypct
2248,soilph
2249,up
2250,up
2302,soilph
2303,soilph
2304,soilph
2305,soilph
2307,soilph
2308,soilph
2309,soilph
2310,soilph
2311,soilph
2312,soilph
2313,soilph
2314,soilph
2315,soilph
2316,soilph
2317,soilph
2318,soilph
2319,soilph
2320,soilph
2321,soilph
2322,soilph
2323,soilph
2324,soilph
2325,soilph
2326,soilph
2327,soilph
2328,soilph
2329,soilph
2330,soilph
2331,soilph
2332,soilph
2333,soilph
2334,up
2335,soilph
2336,up
2337,up
2338,up
2339,soilph
2340,soilph
2341,soilph
2342,soilph
2343,up
2344,soilph
2345,soilph
2346,soilph
2347,soilph
2348,soilph
2349,soilph
2350,soilph
2351,soilph
2352,soilph
2353,soilph
2354,soilph
2355,soilph
2356,soilph
2357,soilph
2358,soilph
2359,soilph
2360,soilph
2361,soilph
2362,soilph
2363,soilph
2364,soilph
2365,soilph
2366,soilph
2367,soilph
2368,soilph
2369,soilph
2370,soilph
2371,soilph
2372,soilph
2373,soilph
2374,soilph
2375,soilph
2376,soilph
2377,soilph
2378,soilph
2379,soilph
2380,soilph
2381,soilph
2382,soilph
2383,soilph
2384,soilph
2385,soilph
2386,soilph
2387,soilph
2388,soilph
2389,soilph
2390,soilph
2391,claypct
2392,claypct
2393,claypct
2394,claypct
2395,soilph
2396,soilph
2397,soilph
2398,soilph
2399,soilph
2400,soilph
2401,soilph
2402,up
2403,claypct
2404,claypct
2405,claypct
2406,claypct
2407,claypct
2408,soilph
2409,soilph
2410,soilph
2411,soilph
2412,temp_p3
2413,up
2414,up
2415,soilcec
2416,claypct
2417,up
2418,up
2419,soilph
2420,soilph
2421,soilph
2422,up
2423,up
2424,claypct
2425,soilph
2426,soilph
2427,soilph
2428,claypct
2477,soilph
2478,soilph
2479,soilph
2480,soilph
2481,soilph
2482,soilph
2483,soilph
2484,soilph
2485,soilph
2486,soilph
2487,soilph
2488,soilph
2489,soilph
2490,soilph
2491,soilph
2492,bulkdens
2493,soilph
2494,soilph
2495,soilph
2496,soilph
2497,soilph
2498,soilph
2499,soilph
2500,soilph
2501,soilph
2502,soilph
2503,soilph
2504,soilph
2505,soilph
2506,soilph
2507,soilph
2508,soilph
2509,soilph
2510,soilph
2511,soilph
2512,up
2513,up
2514,soilph
2515,soilph
2516,soilph
2517,soilph
2518,temp_p2
2519,temp_p2
2520,soilph
2521,soilph
2522,soilph
2523,soilph
2524,soilph
2525,soilph
2526,soilph
2527,soilph
2528,soilph
2529,soilph
2530,soilph
2531,soilph
2532,up
2533,soilph
2534,soilph
2535,soilph
2536,soilph
2537,soilph
2538,soilph
2539,soilph
2540,soilph
2541,soilph
2542,soilph
2543,soilph
2544,soilph
2545,up
2546,soilph
2547,soilph
2548,soilph
2549,soilph
2550,soilph
2551,soilph
2552,soilph
2553,soilph
2554,soilph
2555,soilph
2556,soilph
2557,soilph
2558,soilph
2559,soilph
2560,soilph
2561,soilph
2562,soilph
2563,soilph
2564,claypct
2565,soilph
2566,soilph
2567,soilph
2568,soilph
2569,soilph
2570,soilph
2571,soilph
2572,soilph
2573,soilph
2574,soilph
2575,soilph
2576,bulkdens
2577,claypct
2578,soilcec
2579,claypct
2580,claypct
2581,up
2582,claypct
2583,claypct
2584,soilph
2585,soilph
2586,soilph
2587,up
2588,up
2589,up
2590,soilcec
2591,claypct
2592,up
2593,up
2594,up
2595,soilph
2596,soilph
2597,up
2598,up
2599,up
2600,up
2601,up
2602,up
2603,claypct
